Class,accident_type,evidence,uplift,s2_2_importance,CRI_Score,matched_details
A,Other (describe in narrative),"{'Equipment Attended': 'No', 'Equipment Type': 'Single Car'}",0.0325664124746291,0.01307417535,0.4537569825604747,Equipment Attended=No(Score:0.0231); Equipment Type=Single Car(Score:0.0030)
A,Fire/violent rupture,"{'Equipment Attended': 'No', 'Equipment Type': 'Single Car'}",0.032299367211858,0.01307417535,0.45348756321303596,Equipment Attended=No(Score:0.0231); Equipment Type=Single Car(Score:0.0030)
A,Rear end collision,"{'Equipment Attended': 'No', 'Head End Locomotives': '0'}",0.0414437997305288,0.0127904375,0.4534863378347405,Equipment Attended=No(Score:0.0231); Head End Locomotives(Score:0.0024)
A,Raking collision,"{'Equipment Attended': 'No', 'Equipment Type': 'Cut of cars'}",0.0433754936982412,0.012116012349999998,0.43350337727586097,Equipment Attended=No(Score:0.0231); Equipment Type=Cut of cars(Score:0.0011)
A,Derailment,"{'Track Class': '1', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.008538003,0.4309833268269374,Track Class=1(Score:0.0048); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Track Type': 'Siding', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.008140062,0.41804256767449677,Track Type=Siding(Score:0.0040); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Track Class': '4', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.0080023721,0.41356498975811307,Track Class=4(Score:0.0037); Equipment Type=Freight Train(Score:0.0123)
A,Rear end collision,"{'Track Type': 'Yard', 'Equipment Type': 'Single Car'}",0.0665508637288388,0.01071793285,0.4114202268778504,Track Type=Yard(Score:0.0184); Equipment Type=Single Car(Score:0.0030)
A,Broken train collision,"{'Equipment Attended': 'No', 'Equipment Type': 'Cut of cars'}",0.0129539580888714,0.012116012349999998,0.402811388259061,Equipment Attended=No(Score:0.0231); Equipment Type=Cut of cars(Score:0.0011)
A,Derailment,"{'Visibility': 'Dark', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.007441192750000001,0.3953158352108984,Visibility=Dark(Score:0.0026); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Track Class': '5', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.00725353695,0.38921340165577695,Track Class=5(Score:0.0022); Equipment Type=Freight Train(Score:0.0123)
A,Fire/violent rupture,"{'Equipment Attended': 'No', 'Train Direction': 'UNKNOWN'}",0.0121298809541821,0.011574656,0.3843754602742221,Equipment Attended=No(Score:0.0231); Train Direction=UNKNOWN(N/A)
A,Head on collision,"{'Track Type': 'Yard', 'Equipment Type': 'Light loco(s)'}",0.0360627667120196,0.0106486203,0.3784070897310263,Track Type=Yard(Score:0.0184); Equipment Type=Light loco(s)(Score:0.0029)
A,Other (describe in narrative),"{'Track Type': 'Yard', 'Equipment Type': 'Single Car'}",0.0325664124746291,0.01071793285,0.377133647198588,Track Type=Yard(Score:0.0184); Equipment Type=Single Car(Score:0.0030)
A,Fire/violent rupture,"{'Track Type': 'Yard', 'Equipment Type': 'Single Car'}",0.032299367211858,0.01071793285,0.37686422785114926,Track Type=Yard(Score:0.0184); Equipment Type=Single Car(Score:0.0030)
A,Derailment,"{'Accident Month': '3', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.006825248000000001,0.37528574868812176,Accident Month(Score:0.0013); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Accident Month': '2', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.006825248000000001,0.37528574868812176,Accident Month(Score:0.0013); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Accident Month': '8', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.006825248000000001,0.37528574868812176,Accident Month(Score:0.0013); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Accident Month': '9', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.006825248000000001,0.37528574868812176,Accident Month(Score:0.0013); Equipment Type=Freight Train(Score:0.0123)
